lga,confirmed,active,as_of_date
HUME,177,82,2020-07-01
BRIMBANK,131,40,2020-07-01
MORELAND,115,37,2020-07-01
MOONEE VALLEY,73,28,2020-07-01
CASEY,110,21,2020-07-01
WHITTLESEA,65,21,2020-07-01
MELBOURNE,103,20,2020-07-01
WYNDHAM,75,17,2020-07-01
MELTON,64,14,2020-07-01
YARRA,42,10,2020-07-01
MARIBYRNONG,34,9,2020-07-01
DAREBIN,58,7,2020-07-01
GLEN EIRA,61,6,2020-07-01
STONNINGTON,103,5,2020-07-01
MITCHELL,16,5,2020-07-01
PORT PHILLIP,51,4,2020-07-01
KINGSTON,34,4,2020-07-01
HOBSONS BAY,25,4,2020-07-01
BANYULE,98,3,2020-07-01
GREATER DANDENONG,27,3,2020-07-01
KNOX,23,3,2020-07-01
BOROONDARA,76,2,2020-07-01
INTERSTATE,64,2,2020-07-01
GREATER BENDIGO,10,2,2020-07-01
GREATER GEELONG,67,1,2020-07-01
FRANKSTON,41,1,2020-07-01
BAYSIDE,35,1,2020-07-01
MANNINGHAM,34,1,2020-07-01
NILLUMBIK,28,1,2020-07-01
WHITEHORSE,26,1,2020-07-01
LATROBE,9,1,2020-07-01
SWAN HILL,4,1,2020-07-01
MORNINGTON PENINSULA,63,-,2020-07-01
MONASH,54,-,2020-07-01
YARRA RANGES,26,-,2020-07-01
CARDINIA,22,-,2020-07-01
MAROONDAH,16,-,2020-07-01
GREATER SHEPPARTON,14,-,2020-07-01
WELLINGTON,12,-,2020-07-01
BALLARAT,11,-,2020-07-01
MOIRA,11,-,2020-07-01
MACEDON RANGES,9,-,2020-07-01
SURF COAST,9,-,2020-07-01
MOUNT ALEXANDER,6,-,2020-07-01
ARARAT,5,-,2020-07-01
BAW BAW,5,-,2020-07-01
CAMPASPE,5,-,2020-07-01
MILDURA,5,-,2020-07-01
SOUTH GIPPSLAND,5,-,2020-07-01
WARRNAMBOOL,5,-,2020-07-01
BASS COAST,4,-,2020-07-01
OVERSEAS,4,-,2020-07-01
BENALLA,3,-,2020-07-01
HORSHAM,3,-,2020-07-01
LODDON,3,-,2020-07-01
MANSFIELD,3,-,2020-07-01
MOORABOOL,3,-,2020-07-01
NORTHERN GRAMPIANS,3,-,2020-07-01
GANNAWARRA,2,-,2020-07-01
HEPBURN,2,-,2020-07-01
MURRINDINDI,2,-,2020-07-01
SOUTHERN GRAMPIANS,2,-,2020-07-01
STRATHBOGIE,2,-,2020-07-01
WANGARATTA,2,-,2020-07-01
ALPINE,1,-,2020-07-01
CENTRAL GOLDFIELDS,1,-,2020-07-01
CORANGAMITE,1,-,2020-07-01
EAST GIPPSLAND,1,-,2020-07-01
GLENELG,1,-,2020-07-01
GOLDEN PLAINS,1,-,2020-07-01
MOYNE,1,-,2020-07-01
WEST WIMMERA,1,-,2020-07-01
WODONGA,1,-,2020-07-01
YARRIAMBIACK,1,-,2020-07-01
UNKNOWN,21,13,2020-07-01
Total,2231,370,2020-07-01
HUME,331,167,2020-07-10
MELBOURNE,318,226,2020-07-10
WYNDHAM,234,151,2020-07-10
BRIMBANK,211,82,2020-07-10
MOONEE VALLEY,198,120,2020-07-10
MORELAND,166,63,2020-07-10
CASEY,133,19,2020-07-10
BANYULE,116,18,2020-07-10
STONNINGTON,114,12,2020-07-10
WHITTLESEA,108,42,2020-07-10
MELTON,96,24,2020-07-10
BOROONDARA,87,12,2020-07-10
DAREBIN,84,25,2020-07-10
GREATER GEELONG,73,5,2020-07-10
MONASH,70,16,2020-07-10
INTERSTATE,67,1,2020-07-10
YARRA,66,25,2020-07-10
MARIBYRNONG,64,30,2020-07-10
MORNINGTON PENINSULA,64,0,2020-07-10
GLEN EIRA,63,3,2020-07-10
PORT PHILLIP,62,10,2020-07-10
MANNINGHAM,49,15,2020-07-10
HOBSONS BAY,47,21,2020-07-10
FRANKSTON,43,2,2020-07-10
WHITEHORSE,43,15,2020-07-10
BAYSIDE,39,4,2020-07-10
KINGSTON,38,3,2020-07-10
GREATER DANDENONG,30,3,2020-07-10
YARRA RANGES,30,4,2020-07-10
NILLUMBIK,28,1,2020-07-10
KNOX,27,3,2020-07-10
CARDINIA,23,1,2020-07-10
MITCHELL,23,9,2020-07-10
MAROONDAH,20,4,2020-07-10
GREATER SHEPPARTON,15,0,2020-07-10
GREATER BENDIGO,12,3,2020-07-10
WELLINGTON,12,0,2020-07-10
BALLARAT,11,0,2020-07-10
MOIRA,11,0,2020-07-10
SURF COAST,10,1,2020-07-10
LATROBE,9,0,2020-07-10
MACEDON RANGES,9,0,2020-07-10
BAW BAW,6,1,2020-07-10
MOUNT ALEXANDER,6,0,2020-07-10
SOUTH GIPPSLAND,6,1,2020-07-10
ARARAT,5,0,2020-07-10
CAMPASPE,5,0,2020-07-10
MILDURA,5,0,2020-07-10
WARRNAMBOOL,5,0,2020-07-10
BASS COAST,4,0,2020-07-10
OVERSEAS,4,0,2020-07-10
SWAN HILL,4,0,2020-07-10
BENALLA,3,0,2020-07-10
HORSHAM,3,0,2020-07-10
LODDON,3,0,2020-07-10
MANSFIELD,3,0,2020-07-10
MOORABOOL,3,0,2020-07-10
NORTHERN GRAMPIANS,3,0,2020-07-10
EAST GIPPSLAND,2,1,2020-07-10
GANNAWARRA,2,0,2020-07-10
HEPBURN,2,0,2020-07-10
MURRINDINDI,2,0,2020-07-10
SOUTHERN GRAMPIANS,2,0,2020-07-10
STRATHBOGIE,2,0,2020-07-10
WANGARATTA,2,0,2020-07-10
ALPINE,1,0,2020-07-10
CENTRAL GOLDFIELDS,1,0,2020-07-10
CORANGAMITE,1,0,2020-07-10
GLENELG,1,0,2020-07-10
GOLDEN PLAINS,1,0,2020-07-10
MOYNE,1,0,2020-07-10
WEST WIMMERA,1,0,2020-07-10
WODONGA,1,0,2020-07-10
YARRIAMBIACK,1,0,2020-07-10
UNKNOWN,34,29,2020-07-10
Total,3379,1172,2020-07-10
HUME,354,176,2020-07-11
MELBOURNE,318,203,2020-07-11
WYNDHAM,263,175,2020-07-11
BRIMBANK,232,97,2020-07-11
MOONEE VALLEY,228,122,2020-07-11
MORELAND,176,67,2020-07-11
CASEY,137,21,2020-07-11
BANYULE,126,28,2020-07-11
STONNINGTON,116,14,2020-07-11
WHITTLESEA,114,44,2020-07-11
MELTON,102,28,2020-07-11
DAREBIN,89,30,2020-07-11
BOROONDARA,88,12,2020-07-11
GREATER GEELONG,73,5,2020-07-11
MONASH,73,19,2020-07-11
MARIBYRNONG,71,35,2020-07-11
INTERSTATE,70,2,2020-07-11
YARRA,68,26,2020-07-11
MORNINGTON PENINSULA,64,0,2020-07-11
GLEN EIRA,63,3,2020-07-11
PORT PHILLIP,63,10,2020-07-11
MANNINGHAM,50,14,2020-07-11
HOBSONS BAY,48,18,2020-07-11
WHITEHORSE,45,17,2020-07-11
FRANKSTON,44,3,2020-07-11
BAYSIDE,39,3,2020-07-11
KINGSTON,39,4,2020-07-11
GREATER DANDENONG,31,4,2020-07-11
UNKNOWN,31,27,2020-07-11
YARRA RANGES,31,5,2020-07-11
KNOX,29,5,2020-07-11
NILLUMBIK,29,2,2020-07-11
MITCHELL,26,12,2020-07-11
CARDINIA,25,3,2020-07-11
MAROONDAH,21,5,2020-07-11
GREATER SHEPPARTON,16,1,2020-07-11
WELLINGTON,13,0,2020-07-11
GREATER BENDIGO,12,3,2020-07-11
BALLARAT,11,0,2020-07-11
MOIRA,11,0,2020-07-11
SURF COAST,10,1,2020-07-11
LATROBE,9,0,2020-07-11
MACEDON RANGES,9,0,2020-07-11
BAW BAW,7,2,2020-07-11
MOUNT ALEXANDER,6,0,2020-07-11
SOUTH GIPPSLAND,6,1,2020-07-11
ARARAT,5,0,2020-07-11
CAMPASPE,5,0,2020-07-11
MILDURA,5,0,2020-07-11
WARRNAMBOOL,5,0,2020-07-11
BASS COAST,4,0,2020-07-11
OVERSEAS,4,0,2020-07-11
SWAN HILL,4,0,2020-07-11
BENALLA,3,0,2020-07-11
HORSHAM,3,0,2020-07-11
LODDON,3,0,2020-07-11
MANSFIELD,3,0,2020-07-11
MOORABOOL,3,0,2020-07-11
NORTHERN GRAMPIANS,3,0,2020-07-11
EAST GIPPSLAND,2,1,2020-07-11
GANNAWARRA,2,0,2020-07-11
GOLDEN PLAINS,2,1,2020-07-11
HEPBURN,2,0,2020-07-11
MURRINDINDI,2,0,2020-07-11
SOUTHERN GRAMPIANS,2,0,2020-07-11
STRATHBOGIE,2,0,2020-07-11
WANGARATTA,2,0,2020-07-11
ALPINE,1,0,2020-07-11
CENTRAL GOLDFIELDS,1,0,2020-07-11
CORANGAMITE,1,0,2020-07-11
GLENELG,1,0,2020-07-11
MOYNE,1,0,2020-07-11
WEST WIMMERA,1,0,2020-07-11
WODONGA,1,0,2020-07-11
YARRIAMBIACK,1,0,2020-07-11
Total,3560,1249,2020-07-11
HUME,416,222,2020-07-13
MELBOURNE,312,217,2020-07-13
WYNDHAM,306,209,2020-07-13
BRIMBANK,271,127,2020-07-13
MOONEE VALLEY,271,178,2020-07-13
MORELAND,200,88,2020-07-13
CASEY,144,23,2020-07-13
BANYULE,140,42,2020-07-13
WHITTLESEA,137,64,2020-07-13
MELTON,127,51,2020-07-13
STONNINGTON,120,18,2020-07-13
DAREBIN,106,42,2020-07-13
BOROONDARA,94,18,2020-07-13
YARRA,86,41,2020-07-13
MARIBYRNONG,84,43,2020-07-13
INTERSTATE,81,3,2020-07-13
MONASH,76,22,2020-07-13
GREATER GEELONG,74,5,2020-07-13
PORT PHILLIP,72,19,2020-07-13
MORNINGTON PENINSULA,65,1,2020-07-13
GLEN EIRA,64,4,2020-07-13
HOBSONS BAY,57,26,2020-07-13
MANNINGHAM,54,17,2020-07-13
WHITEHORSE,52,24,2020-07-13
FRANKSTON,44,3,2020-07-13
BAYSIDE,40,5,2020-07-13
KINGSTON,40,5,2020-07-13
UNKNOWN,36,33,2020-07-13
GREATER DANDENONG,32,3,2020-07-13
NILLUMBIK,31,4,2020-07-13
YARRA RANGES,31,4,2020-07-13
KNOX,30,6,2020-07-13
CARDINIA,27,4,2020-07-13
MITCHELL,27,12,2020-07-13
MAROONDAH,23,7,2020-07-13
GREATER SHEPPARTON,18,3,2020-07-13
GREATER BENDIGO,13,4,2020-07-13
WELLINGTON,13,0,2020-07-13
BALLARAT,11,0,2020-07-13
MOIRA,11,0,2020-07-13
MACEDON RANGES,10,1,2020-07-13
SURF COAST,10,1,2020-07-13
LATROBE,9,0,2020-07-13
BAW BAW,8,3,2020-07-13
BASS COAST,7,3,2020-07-13
CAMPASPE,6,1,2020-07-13
MOUNT ALEXANDER,6,0,2020-07-13
SOUTH GIPPSLAND,6,1,2020-07-13
WARRNAMBOOL,6,1,2020-07-13
ARARAT,5,0,2020-07-13
MILDURA,5,0,2020-07-13
MOORABOOL,5,2,2020-07-13
OVERSEAS,5,0,2020-07-13
SWAN HILL,5,1,2020-07-13
BENALLA,3,0,2020-07-13
HORSHAM,3,0,2020-07-13
LODDON,3,0,2020-07-13
MANSFIELD,3,0,2020-07-13
NORTHERN GRAMPIANS,3,0,2020-07-13
EAST GIPPSLAND,2,1,2020-07-13
GANNAWARRA,2,0,2020-07-13
HEPBURN,2,0,2020-07-13
MURRINDINDI,2,0,2020-07-13
SOUTHERN GRAMPIANS,2,0,2020-07-13
STRATHBOGIE,2,0,2020-07-13
WANGARATTA,2,0,2020-07-13
ALPINE,1,0,2020-07-13
CENTRAL GOLDFIELDS,1,0,2020-07-13
CORANGAMITE,1,0,2020-07-13
GLENELG,1,0,2020-07-13
GOLDEN PLAINS,1,0,2020-07-13
MOYNE,1,0,2020-07-13
WEST WIMMERA,1,0,2020-07-13
WODONGA,1,0,2020-07-13
YARRIAMBIACK,1,0,2020-07-13
TOTAL,3967,1612,2020-07-13
HUME,448,246,2020-07-14
WYNDHAM,333,231,2020-07-14
MELBOURNE,326,211,2020-07-14
BRIMBANK,303,153,2020-07-14
MOONEE VALLEY,297,195,2020-07-14
MORELAND,212,97,2020-07-14
CASEY,150,29,2020-07-14
BANYULE,149,51,2020-07-14
WHITTLESEA,147,70,2020-07-14
MELTON,134,58,2020-07-14
STONNINGTON,122,20,2020-07-14
DAREBIN,117,51,2020-07-14
BOROONDARA,99,23,2020-07-14
MARIBYRNONG,94,52,2020-07-14
YARRA,94,47,2020-07-14
INTERSTATE,81,3,2020-07-14
MONASH,76,21,2020-07-14
GREATER GEELONG,75,6,2020-07-14
PORT PHILLIP,72,17,2020-07-14
GLEN EIRA,66,6,2020-07-14
MORNINGTON PENINSULA,66,2,2020-07-14
HOBSONS BAY,63,32,2020-07-14
MANNINGHAM,63,24,2020-07-14
WHITEHORSE,57,29,2020-07-14
FRANKSTON,44,3,2020-07-14
UNKNOWN,41,38,2020-07-14
KINGSTON,41,5,2020-07-14
BAYSIDE,40,5,2020-07-14
NILLUMBIK,35,8,2020-07-14
GREATER DANDENONG,34,5,2020-07-14
YARRA RANGES,32,5,2020-07-14
CARDINIA,31,8,2020-07-14
KNOX,30,6,2020-07-14
MITCHELL,27,12,2020-07-14
MAROONDAH,24,8,2020-07-14
GREATER SHEPPARTON,17,2,2020-07-14
GREATER BENDIGO,13,4,2020-07-14
WELLINGTON,13,0,2020-07-14
BALLARAT,11,0,2020-07-14
MOIRA,11,0,2020-07-14
LATROBE,10,1,2020-07-14
MACEDON RANGES,10,1,2020-07-14
SURF COAST,10,1,2020-07-14
BAW BAW,8,3,2020-07-14
BASS COAST,7,3,2020-07-14
SOUTH GIPPSLAND,7,2,2020-07-14
CAMPASPE,6,1,2020-07-14
WARRNAMBOOL,6,1,2020-07-14
MOUNT ALEXANDER,6,0,2020-07-14
MOORABOOL,5,2,2020-07-14
SWAN HILL,5,1,2020-07-14
ARARAT,5,0,2020-07-14
MILDURA,5,0,2020-07-14
OVERSEAS,5,0,2020-07-14
GOLDEN PLAINS,4,3,2020-07-14
BENALLA,3,0,2020-07-14
HORSHAM,3,0,2020-07-14
LODDON,3,0,2020-07-14
MANSFIELD,3,0,2020-07-14
NORTHERN GRAMPIANS,3,0,2020-07-14
EAST GIPPSLAND,2,1,2020-07-14
GANNAWARRA,2,0,2020-07-14
HEPBURN,2,0,2020-07-14
MURRINDINDI,2,0,2020-07-14
SOUTHERN GRAMPIANS,2,0,2020-07-14
STRATHBOGIE,2,0,2020-07-14
WANGARATTA,2,0,2020-07-14
ALPINE,1,0,2020-07-14
CENTRAL GOLDFIELDS,1,0,2020-07-14
CORANGAMITE,1,0,2020-07-14
GLENELG,1,0,2020-07-14
MOYNE,1,0,2020-07-14
WEST WIMMERA,1,0,2020-07-14
WODONGA,1,0,2020-07-14
YARRIAMBIACK,1,0,2020-07-14
BULOKE,0,0,2020-07-14
COLAC OTWAY,0,0,2020-07-14
HINDMARSH,0,0,2020-07-14
INDIGO,0,0,2020-07-14
PYRENEES,0,0,2020-07-14
QUEENSCLIFFE,0,0,2020-07-14
TOWONG,0,0,2020-07-14
Total,4224,1803,2020-07-14
LGA,Confirmed cases (ever),Active cases (current),2020-07-17
HUME,530,280,2020-07-17
WYNDHAM,455,299,2020-07-17
BRIMBANK,412,238,2020-07-17
MELBOURNE,410,264,2020-07-17
MOONEE VALLEY,353,223,2020-07-17
MORELAND,266,133,2020-07-17
BANYULE,207,107,2020-07-17
WHITTLESEA,198,109,2020-07-17
MELTON,189,106,2020-07-17
CASEY,173,46,2020-07-17
DAREBIN,139,70,2020-07-17
STONNINGTON,137,32,2020-07-17
YARRA,130,76,2020-07-17
MARIBYRNONG,121,68,2020-07-17
BOROONDARA,110,31,2020-07-17
HOBSONS BAY,92,53,2020-07-17
MONASH,84,26,2020-07-17
INTERSTATE,82,4,2020-07-17
PORT PHILLIP,82,25,2020-07-17
GREATER GEELONG,77,8,2020-07-17
GLEN EIRA,73,13,2020-07-17
MANNINGHAM,73,32,2020-07-17
MORNINGTON PENINSULA,71,7,2020-07-17
WHITEHORSE,69,38,2020-07-17
KINGSTON,49,13,2020-07-17
FRANKSTON,47,6,2020-07-17
GREATER DANDENONG,47,18,2020-07-17
BAYSIDE,41,5,2020-07-17
NILLUMBIK,39,11,2020-07-17
CARDINIA,37,12,2020-07-17
KNOX,35,10,2020-07-17
YARRA RANGES,33,6,2020-07-17
MITCHELL,31,16,2020-07-17
MAROONDAH,27,10,2020-07-17
GREATER SHEPPARTON,17,1,2020-07-17
BALLARAT,16,5,2020-07-17
GREATER BENDIGO,13,3,2020-07-17
WELLINGTON,13,0,2020-07-17
MACEDON RANGES,12,3,2020-07-17
LATROBE,11,2,2020-07-17
MOIRA,11,0,2020-07-17
SURF COAST,10,1,2020-07-17
BAW BAW,8,3,2020-07-17
SOUTH GIPPSLAND,7,2,2020-07-17
BASS COAST,6,2,2020-07-17
MOUNT ALEXANDER,6,0,2020-07-17
WARRNAMBOOL,6,1,2020-07-17
ARARAT,5,0,2020-07-17
CAMPASPE,5,0,2020-07-17
GOLDEN PLAINS,5,4,2020-07-17
HORSHAM,5,2,2020-07-17
MILDURA,5,0,2020-07-17
MOORABOOL,5,2,2020-07-17
OVERSEAS,5,0,2020-07-17
SWAN HILL,5,1,2020-07-17
BENALLA,3,0,2020-07-17
LODDON,3,0,2020-07-17
MANSFIELD,3,0,2020-07-17
NORTHERN GRAMPIANS,3,0,2020-07-17
EAST GIPPSLAND,2,1,2020-07-17
GANNAWARRA,2,0,2020-07-17
HEPBURN,2,0,2020-07-17
MURRINDINDI,2,0,2020-07-17
SOUTHERN GRAMPIANS,2,0,2020-07-17
STRATHBOGIE,2,0,2020-07-17
WANGARATTA,2,0,2020-07-17
ALPINE,1,0,2020-07-17
CENTRAL GOLDFIELDS,1,0,2020-07-17
CORANGAMITE,1,0,2020-07-17
GLENELG,1,0,2020-07-17
MOYNE,1,0,2020-07-17
WEST WIMMERA,1,0,2020-07-17
WODONGA,1,0,2020-07-17
YARRIAMBIACK,1,0,2020-07-17
BULOKE,0,0,2020-07-17
COLAC OTWAY,0,0,2020-07-17
HINDMARSH,0,0,2020-07-17
INDIGO,0,0,2020-07-17
PYRENEES,0,0,2020-07-17
QUEENSCLIFFE,0,0,2020-07-17
TOWONG,0,0,2020-07-17
UNKNOWN,36,34,2020-07-17
TOTAL,5165,2462,2020-07-17
HUME,545,277,2020-07-18
WYNDHAM,480,308,2020-07-18
MELBOURNE,427,289,2020-07-18
BRIMBANK,419,240,2020-07-18
MOONEE VALLEY,365,234,2020-07-18
MORELAND,276,137,2020-07-18
BANYULE,211,110,2020-07-18
WHITTLESEA,211,126,2020-07-18
MELTON,193,110,2020-07-18
CASEY,190,62,2020-07-18
DAREBIN,148,78,2020-07-18
YARRA,140,87,2020-07-18
STONNINGTON,139,33,2020-07-18
MARIBYRNONG,125,73,2020-07-18
BOROONDARA,113,32,2020-07-18
HOBSONS BAY,97,59,2020-07-18
MONASH,86,30,2020-07-18
PORT PHILLIP,85,28,2020-07-18
INTERSTATE,82,4,2020-07-18
GREATER GEELONG,77,6,2020-07-18
GLEN EIRA,75,15,2020-07-18
MANNINGHAM,75,32,2020-07-18
WHITEHORSE,74,43,2020-07-18
MORNINGTON PENINSULA,72,8,2020-07-18
GREATER DANDENONG,50,21,2020-07-18
KINGSTON,49,14,2020-07-18
FRANKSTON,48,6,2020-07-18
BAYSIDE,43,7,2020-07-18
CARDINIA,39,13,2020-07-18
NILLUMBIK,38,10,2020-07-18
KNOX,36,9,2020-07-18
MITCHELL,33,18,2020-07-18
UNKNOWN,33,30,2020-07-18
YARRA RANGES,33,6,2020-07-18
MAROONDAH,27,10,2020-07-18
BALLARAT,19,8,2020-07-18
GREATER SHEPPARTON,17,2,2020-07-18
GREATER BENDIGO,14,4,2020-07-18
MACEDON RANGES,13,4,2020-07-18
WELLINGTON,13,0,2020-07-18
LATROBE,11,2,2020-07-18
MOIRA,11,0,2020-07-18
SURF COAST,10,1,2020-07-18
BAW BAW,8,3,2020-07-18
SOUTH GIPPSLAND,7,2,2020-07-18
BASS COAST,6,2,2020-07-18
HORSHAM,6,3,2020-07-18
MOORABOOL,6,3,2020-07-18
MOUNT ALEXANDER,6,0,2020-07-18
ARARAT,5,0,2020-07-18
CAMPASPE,5,0,2020-07-18
GOLDEN PLAINS,5,4,2020-07-18
MILDURA,5,0,2020-07-18
OVERSEAS,5,0,2020-07-18
SWAN HILL,5,1,2020-07-18
WARRNAMBOOL,5,0,2020-07-18
BENALLA,3,0,2020-07-18
LODDON,3,0,2020-07-18
MANSFIELD,3,0,2020-07-18
NORTHERN GRAMPIANS,3,0,2020-07-18
COLAC OTWAY,2,2,2020-07-18
EAST GIPPSLAND,2,1,2020-07-18
GANNAWARRA,2,0,2020-07-18
GLENELG,2,1,2020-07-18
HEPBURN,2,0,2020-07-18
MURRINDINDI,2,0,2020-07-18
SOUTHERN GRAMPIANS,2,0,2020-07-18
STRATHBOGIE,2,0,2020-07-18
WANGARATTA,2,0,2020-07-18
ALPINE,1,0,2020-07-18
CENTRAL GOLDFIELDS,1,0,2020-07-18
CORANGAMITE,1,0,2020-07-18
MOYNE,1,0,2020-07-18
WEST WIMMERA,1,0,2020-07-18
WODONGA,1,0,2020-07-18
YARRIAMBIACK,1,0,2020-07-18
HUME,185,85,2020-07-02
BRIMBANK,142,49,2020-07-02
MORELAND,115,32,2020-07-02
CASEY,113,21,2020-07-02
MELBOURNE,112,29,2020-07-02
STONNINGTON,104,6,2020-07-02
BANYULE,99,4,2020-07-02
WYNDHAM,81,22,2020-07-02
MOONEE VALLEY,80,32,2020-07-02
BOROONDARA,76,2,2020-07-02
MELTON,71,19,2020-07-02
GREATER GEELONG,68,2,2020-07-02
WHITTLESEA,67,21,2020-07-02
INTERSTATE,64,2,2020-07-02
